,index,fecha_dato,ncodpers,ind_empleado,pais_residencia,sexo,age,fecha_alta,ind_nuevo,antiguedad,indrel,ult_fec_cli_1t,indrel_1mes,tiprel_1mes,indresi,indext,conyuemp,canal_entrada,indfall,nomprov,ind_actividad_cliente,renta,segmento,month_id_x,month_next_id_x,month_id_y,month_next_id_y,variable,value
152111,886323,2015-02-28,399475,N,ES,V,41,2003-01-03, 0,31.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KFC,N,MADRID,1.0,215213.22,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Added
152135,827986,2015-02-28,48017,N,ES,V,56,1996-10-28, 0,225.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KAT,N,MADRID,1.0,785647.41,01 - TOP,2,3,2,3,ind_cco_fin_ult1,Added
152177,813183,2015-02-28,174282,N,ES,V,54,2000-04-27, 0,183.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KAY,N,MADRID,1.0,101777.58,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
152458,889618,2015-02-28,416119,N,ES,V,55,2003-04-22, 0,41.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KAT,N,MADRID,1.0,237036.09,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
152675,947749,2015-02-28,1219627,N,ES,V,47,2013-11-14, 0,20.0,1.0,UNKNOWN,1,I,S,N,UNKNOWN,KFC,N,SEVILLA,0.0,76402.8,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
152749,1175260,2015-02-28,1091018,N,ES,H,86,2012-10-29, 0,33.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KAT,N,SEVILLA,1.0,38274.78,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
152835,834213,2015-02-28,27571,N,ES,V,53,1995-11-20, 0,236.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KAT,N,MADRID,1.0,185775.75,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
153099,1186166,2015-02-28,1079275,N,ES,V,23,2012-10-11, 0,33.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KHE,N,SEVILLA,1.0,152943.78,03 - UNIVERSITARIO,2,3,2,3,ind_cco_fin_ult1,Dropped
153153,891698,2015-02-28,410104,N,ES,V,47,2003-03-06, 0,148.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KFC,N,MADRID,1.0,113871.18,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Added
153254,693669,2015-02-28,503227,N,ES,H,39,2004-11-22, 0,128.0,1.0,UNKNOWN,1,I,S,S,UNKNOWN,KFC,N,PONTEVEDRA,1.0,101777.58,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
153336,716615,2015-02-28,772472,N,ES,H,51,2008-06-09, 0,85.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KAT,N,MADRID,1.0,154104.96,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
153369,728214,2015-02-28,861988,N,ES,V,35,2010-01-20, 0,66.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KAT,N,MADRID,1.0,141249.12,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Added
153527,975793,2015-02-28,1235189,N,ES,H,44,2014-01-02, 0,18.0,1.0,UNKNOWN,1,I,S,N,UNKNOWN,KFC,N,"CORUNA, A",0.0,60860.01,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
153620,779521,2015-02-28,714577,N,ES,V,51,2007-08-25, 0,95.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KFC,N,LERIDA,0.0,73719.81,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
153862,1154841,2015-02-28,909131,N,ES,V,45,2011-03-30, 0,52.0,1.0,UNKNOWN,1,I,S,N,UNKNOWN,KAT,N,VALENCIA,0.0,55237.32,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
154325,970086,2015-02-28,1253604,N,ES,H,32,2014-04-14, 0,15.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KFC,N,GIPUZKOA,1.0,101777.58,03 - UNIVERSITARIO,2,3,2,3,ind_cco_fin_ult1,Dropped
154337,1027846,2015-02-28,1338167,N,ES,H,20,2014-10-21, 0,9.0,1.0,UNKNOWN,1,I,S,N,UNKNOWN,KHE,N,PONTEVEDRA,0.0,119059.98,03 - UNIVERSITARIO,2,3,2,3,ind_cco_fin_ult1,Added
154347,1040251,2015-02-28,1373451,N,ES,V,49,2014-12-30, 0,7.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KHK,N,GIPUZKOA,1.0,101777.58,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
154417,1077399,2015-02-28,1271188,N,ES,H,30,2014-07-18, 0,16.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,RED,N,"RIOJA, LA",1.0,33419.49,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
154448,691790,2015-02-28,508040,N,ES,H,47,2004-12-23, 0,127.0,1.0,UNKNOWN,1,I,S,N,UNKNOWN,KFC,N,"RIOJA, LA",0.0,54198.42,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
154454,960625,2015-02-28,1199943,N,ES,H,34,2013-10-15, 0,21.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KHE,N,GRANADA,1.0,101777.58,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Added
154548,727398,2015-02-28,856804,N,ES,V,35,2009-11-15, 0,68.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KFC,N,GRANADA,1.0,99223.05,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
154569,706938,2015-02-28,807467,N,ES,H,30,2008-10-22, 0,81.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KAT,N,GRANADA,1.0,242772.72,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Added
154572,1046591,2015-02-28,1376834,N,ES,H,42,2015-01-19, 0,6.0,1.0,UNKNOWN,1,I,S,N,UNKNOWN,KHK,N,ZARAGOZA,0.0,83500.95,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
154613,1000816,2015-02-28,1182369,N,ES,H,35,2013-09-24, 0,22.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KFC,N,JAEN,1.0,68675.07,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
154905,648064,2015-02-28,601218,N,ES,H,53,2014-12-11, 0,7.0,1.0,UNKNOWN,1,I,S,N,UNKNOWN,KHK,N,HUELVA,0.0,78726.27,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
154906,1046546,2015-02-28,1376808,N,ES,V,36,2015-01-19, 0,6.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KHK,N,ZARAGOZA,1.0,71880.75,01 - TOP,2,3,2,3,ind_cco_fin_ult1,Dropped
155017,1207442,2015-02-28,1101031,N,ES,V,41,2012-11-14, 0,32.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KFC,N,VALENCIA,1.0,40620.33,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
155077,683870,2015-02-28,435117,N,ES,H,61,2003-09-15, 0,142.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KAT,N,MADRID,1.0,106437.75,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
155148,1242639,2015-02-28,1069458,N,ES,V,40,2012-09-27, 0,34.0,1.0,UNKNOWN,1,I,S,N,UNKNOWN,KFC,N,VALENCIA,1.0,53867.88,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Added
155186,969997,2015-02-28,1254019,N,ES,H,50,2014-04-16, 0,15.0,1.0,UNKNOWN,1,I,S,N,UNKNOWN,KAT,N,MADRID,1.0,40361.25,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
155208,965775,2015-02-28,1241910,N,ES,V,29,2014-02-04, 0,17.0,1.0,UNKNOWN,1,I,S,N,UNKNOWN,KAT,N,MADRID,0.0,83555.7,03 - UNIVERSITARIO,2,3,2,3,ind_cco_fin_ult1,Dropped
155488,1033606,2015-02-28,1318324,N,ES,H,22,2014-09-26, 0,10.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KHF,N,SEVILLA,1.0,53210.07,03 - UNIVERSITARIO,2,3,2,3,ind_cco_fin_ult1,Dropped
155521,1047888,2015-02-28,1378835,N,ES,V,36,2015-01-28, 0,6.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KHL,N,MADRID,1.0,70375.32,01 - TOP,2,3,2,3,ind_cco_fin_ult1,Dropped
155528,1047083,2015-02-28,1375513,N,ES,V,55,2015-01-12, 0,6.0,1.0,UNKNOWN,1,I,S,N,UNKNOWN,KHK,N,MADRID,0.0,60308.61,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Added
155544,778862,2015-02-28,715308,N,ES,V,29,2007-08-29, 0,46.0,1.0,UNKNOWN,1,I,S,N,UNKNOWN,KAT,N,MURCIA,1.0,79703.64,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Added
155550,1041097,2015-02-28,1373300,N,ES,H,45,2014-12-30, 0,13.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,RED,N,MADRID,1.0,83497.08,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
155566,1048287,2015-02-28,1377180,N,ES,V,22,2015-01-20, 0,6.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KHK,N,MADRID,1.0,251278.17,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
155666,1035556,2015-02-28,1329674,N,ES,H,34,2014-10-10, 0,9.0,1.0,UNKNOWN,1,I,S,N,UNKNOWN,KFC,N,MADRID,0.0,101777.58,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
155999,1005839,2015-02-28,1189481,N,ES,V,43,2013-10-03, 0,21.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KHE,N,SEVILLA,1.0,94876.65,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
156023,1055266,2015-02-28,1362380,N,ES,H,20,2014-11-27, 0,8.0,1.0,UNKNOWN,1,A,S,S,UNKNOWN,KHE,N,CIUDAD REAL,0.0,35334.48,03 - UNIVERSITARIO,2,3,2,3,ind_cco_fin_ult1,Dropped
156061,636361,2015-02-28,517815,N,ES,V,68,2005-02-14, 0,125.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KFC,N,ZARAGOZA,1.0,48110.82,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
156185,1126019,2015-02-28,1012482,N,ES,H,36,2012-04-17, 0,39.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KFC,N,CIUDAD REAL,1.0,65754.33,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
156246,734477,2015-02-28,835386,N,ES,V,43,2010-05-20, 0,77.0,1.0,UNKNOWN,1,A,S,S,UNKNOWN,KFA,N,MADRID,1.0,174987.9,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
156298,957196,2015-02-28,1202238,N,ES,H,55,2013-10-18, 0,21.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KFC,N,SEGOVIA,1.0,98606.7,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
156439,652928,2015-02-28,615080,N,ES,V,36,2006-05-22, 0,110.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KFC,N,MADRID,1.0,424531.26,01 - TOP,2,3,2,3,ind_cco_fin_ult1,Dropped
156590,1014197,2015-02-28,1166382,N,ES,V,29,2013-08-14, 0,23.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KFC,N,CASTELLON,1.0,54473.46,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Added
156615,811335,2015-02-28,203888,N,ES,V,48,2000-11-09, 0,136.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KFC,N,SEVILLA,1.0,104900.91,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Added
156623,1047632,2015-02-28,1378519,N,ES,V,32,2015-01-27, 0,6.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KHK,N,CASTELLON,1.0,668526.69,03 - UNIVERSITARIO,2,3,2,3,ind_cco_fin_ult1,Dropped
156646,708302,2015-02-28,801021,N,ES,H,47,2008-10-05, 0,81.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KFC,N,MADRID,1.0,142278.45,01 - TOP,2,3,2,3,ind_cco_fin_ult1,Added
157006,1244573,2015-02-28,1053212,N,ES,V,36,2012-08-21, 0,34.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,RED,N,MADRID,1.0,221477.58,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Added
157098,1205764,2015-02-28,1107779,N,ES,H,32,2012-11-29, 0,32.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KFC,N,BARCELONA,1.0,54747.87,03 - UNIVERSITARIO,2,3,2,3,ind_cco_fin_ult1,Dropped
157132,1051592,2015-02-28,1347047,N,ES,H,53,2014-11-03, 0,9.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KHK,N,BARCELONA,1.0,197771.22,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
157231,1147298,2015-02-28,898881,N,ES,V,44,2010-12-15, 0,55.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KAZ,N,BARCELONA,1.0,139086.69,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
157284,1051153,2015-02-28,1346773,N,ES,V,23,2014-11-03, 0,9.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KHE,N,TOLEDO,0.0,101777.58,03 - UNIVERSITARIO,2,3,2,3,ind_cco_fin_ult1,Dropped
157297,636325,2015-02-28,517568,N,ES,V,40,2005-02-14, 0,125.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KAT,N,BARCELONA,1.0,64456.41,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
157444,1197889,2015-02-28,1117195,N,ES,V,30,2013-01-09, 0,30.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KFC,N,ALICANTE,1.0,124131.45,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Added
157447,1099260,2015-02-28,976579,N,ES,H,30,2011-11-10, 0,44.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KHE,N,MADRID,0.0,52802.34,03 - UNIVERSITARIO,2,3,2,3,ind_cco_fin_ult1,Added
157462,1117000,2015-02-28,1006386,N,ES,V,59,2012-02-27, 0,41.0,1.0,UNKNOWN,1,I,S,N,UNKNOWN,KFC,N,MADRID,0.0,98314.62,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
157507,991213,2015-02-28,1143546,N,ES,H,22,2013-07-19, 0,24.0,1.0,UNKNOWN,1,I,S,N,UNKNOWN,KHE,N,BARCELONA,0.0,130093.83,03 - UNIVERSITARIO,2,3,2,3,ind_cco_fin_ult1,Dropped
157572,740848,2015-02-28,855778,N,ES,V,26,2009-11-03, 0,61.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KAT,N,BARCELONA,1.0,99395.43,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
157643,769633,2015-02-28,746508,N,ES,V,36,2008-02-07, 0,89.0,1.0,UNKNOWN,1,I,S,N,UNKNOWN,KAT,N,BARCELONA,0.0,208021.32,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Added
157913,819060,2015-02-28,186196,N,ES,V,46,2000-07-31, 0,180.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KFC,N,VALLADOLID,1.0,307128.87,01 - TOP,2,3,2,3,ind_cco_fin_ult1,Added
157945,831428,2015-02-28,58283,N,ES,V,71,1997-02-27, 0,221.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KAT,N,BARCELONA,1.0,664768.62,01 - TOP,2,3,2,3,ind_cco_fin_ult1,Dropped
158015,937643,2015-02-28,289298,N,ES,H,52,2001-10-31, 0,165.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KFC,N,BARCELONA,1.0,139086.69,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Added
158117,1165988,2015-02-28,934672,N,ES,V,24,2011-08-17, 0,47.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KHE,N,BADAJOZ,1.0,95372.46,03 - UNIVERSITARIO,2,3,2,3,ind_cco_fin_ult1,Added
158143,947304,2015-02-28,1216315,N,ES,V,38,2013-11-07, 0,20.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KHE,N,VALENCIA,1.0,56304.9,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Added
158247,1122845,2015-02-28,1019643,N,ES,V,57,2012-06-13, 0,36.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KAT,N,VALENCIA,1.0,50811.18,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Added
158350,1055786,2015-02-28,1360826,N,ES,V,34,2014-11-25, 0,8.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KHK,N,AVILA,1.0,92328.6,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
158746,1163140,2015-02-28,953347,N,ES,H,46,2011-10-03, 0,45.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KAT,N,VALENCIA,1.0,145191.3,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Added
158764,1195351,2015-02-28,1121847,N,ES,H,43,2013-02-15, 0,29.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KFC,N,MADRID,1.0,126561.27,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Added
158775,1078743,2015-02-28,1307949,N,ES,V,46,2014-09-16, 0,10.0,99.0,2015-07-28,1,I,S,N,UNKNOWN,KAT,N,ALICANTE,0.0,138260.37,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
158952,1206564,2015-02-28,1106583,N,ES,H,49,2012-11-27, 0,32.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KFC,N,MADRID,1.0,154542.09,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
159120,862529,2015-02-28,86106,N,ES,V,46,1998-02-17, 0,209.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KAT,N,MADRID,1.0,997656.48,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Added
159157,868133,2015-02-28,364906,N,ES,V,26,2002-06-25, 0,157.0,1.0,UNKNOWN,1,I,S,N,UNKNOWN,KAT,N,MADRID,0.0,74042.85,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
159515,1046865,2015-02-28,1375071,N,ES,H,27,2015-01-09, 0,6.0,1.0,UNKNOWN,1,A,S,S,UNKNOWN,KHK,N,MURCIA,1.0,98629.56,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
159565,967576,2015-02-28,1259218,N,ES,V,39,2014-05-21, 0,14.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KFC,N,BIZKAIA,1.0,101777.58,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
159581,1147639,2015-02-28,900194,N,ES,V,38,2011-01-03, 0,54.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KFC,N,BIZKAIA,1.0,101777.58,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Added
159676,903124,2015-02-28,250930,N,ES,V,91,2001-06-04, 0,169.0,1.0,UNKNOWN,1,I,S,N,UNKNOWN,KAT,N,MADRID,0.0,86255.52,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
159772,943528,2015-02-28,1210825,N,ES,V,21,2013-10-29, 0,21.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KHE,N,BURGOS,1.0,71466.54,03 - UNIVERSITARIO,2,3,2,3,ind_cco_fin_ult1,Dropped
159785,910568,2015-02-28,257328,N,ES,V,49,2001-06-28, 0,169.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KAT,N,MADRID,1.0,127106.85,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Added
160266,972110,2015-02-28,1227871,UNKNOWN,UNKNOWN,UNKNOWN,40,2010-11-03,1,0.0,1.0,UNKNOWN,P,A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,N,UNKNOWN,1.0,101777.58,UNKNOWN,2,3,2,3,ind_cco_fin_ult1,Dropped
160271,1028263,2015-02-28,1341707,N,ES,V,24,2014-10-27, 0,9.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KHE,N,VALLADOLID,0.0,101777.58,03 - UNIVERSITARIO,2,3,2,3,ind_cco_fin_ult1,Dropped
160304,1195982,2015-02-28,1125734,N,ES,V,41,2013-03-26, 1,3.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KFC,N,VALENCIA,1.0,63092.43,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
160327,1046464,2015-02-28,1375920,UNKNOWN,UNKNOWN,UNKNOWN,40,2010-11-03,1,0.0,1.0,UNKNOWN,P,A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,N,UNKNOWN,1.0,101777.58,UNKNOWN,2,3,2,3,ind_cco_fin_ult1,Dropped
